from	to
IL1B	TCIRG1
IL1B	H1FX
IL1B	DNAJC5B
IL1B	TNFAIP3
IL1B	HELQ
IL1B	GPR68
IL1B	DUSP8
IL1B	ZNF438
IL1B	NLRP2
IL1B	ZFPM1
IL1B	RASGRP1
IL1B	GMEB1
IL1B	OSGIN2
IL1B	GBP3
IL1B	USF1
IL1B	ZFX
IL1B	RAB18
IL1B	SLFN5
IL1B	TSPAN3
IL1B	MAML2
IL1B	SOX13
IL1B	AKAP2
IL1B	RBMS1
IL1B	RHOQ
IL1B	GLRX2
IL1B	TBK1
IL1B	RASA2
IL1B	DCTN4
IL1B	PGS1
IL1B	USP38
IL1B	YIPF1
IL1B	ZDHHC5
IL1B	NFKBIA
IL1B	TRPS1
IL1B	HS3ST3B1
IL1B	NCAM1
IL1B	STBD1
IL1B	FAM122C
IL1B	GOLT1B
IL1B	ZDHHC9
IL1B	SRGN
IL1B	TBCA
SEPP1	STAB1
SEPP1	RGS18
SEPP1	TLR5
SEPP1	SUSD1
SEPP1	DPY19L1
SEPP1	MYO7A
SEPP1	SLC38A6
SEPP1	HADH
SEPP1	REXO2
SEPP1	SLC36A1
SEPP1	CFH
SEPP1	ZNF185
SEPP1	TFPI
SEPP1	CDCA7L
SEPP1	ZNF514
SEPP1	PHKB
SEPP1	AIF1
SEPP1	PRDX1
SEPP1	QDPR
SEPP1	MYO5A
SEPP1	CCNB1
SEPP1	DUSP3
SEPP1	FOXM1
SEPP1	NPL
SEPP1	TP53INP1
SEPP1	COMMD1
SEPP1	CMBL
SEPP1	NDUFV2
SEPP1	SDHC
SEPP1	PNPO
SEPP1	CHIC1
SEPP1	XRCC5
SEPP1	PRDX3
SEPP1	C15orf57
SEPP1	DHDDS
SEPP1	CDC7
SEPP1	PDLIM1
SEPP1	GPR34
SEPP1	SLC9A9
SEPP1	SYNE1
SEPP1	AMOTL1
SEPP1	FSTL1
SEPP1	TRIM58
SEPP1	AKR1A1
SEPP1	BDH2
SEPP1	ULK2
SEPP1	SCP2
SEPP1	TXNDC15
SEPP1	PIGW
SEPP1	RUVBL1
SEPP1	DDOST
SEPP1	LMO7
SEPP1	RPP25
SEPP1	FZD5
SEPP1	CALM3
SEPP1	DUT
SEPP1	ATP5S
SEPP1	ATG4A
SEPP1	SNHG3
SEPP1	NARS2
SEPP1	EIF2B1
EDN1	PDE4B
EDN1	IFIT3
EDN1	MT1G
EDN1	LGALS3BP
EDN1	IRF7
EDN1	IL6
EDN1	STAT3
EDN1	PSMB8
EDN1	IFI35
EDN1	ANKRD29
EDN1	FFAR2
EDN1	TNFAIP2
EDN1	FAM20A
EDN1	SHISA5
EDN1	KCNMB1
EDN1	FYB
EDN1	ATP1A1
EDN1	PGD
EDN1	IKBKE
EDN1	GALNT4
EDN1	PSME1
EDN1	LMF2
EDN1	NCOR1
EDN1	SERPINB9
EDN1	APOBEC3H
EDN1	FOXC1
EDN1	PFDN1
EDN1	IRF9
EDN1	SP110
EDN1	SOS1
EDN1	WIPI1
EDN1	PNPLA8
EDN1	FLJ32255
EDN1	CEBPE
EDN1	NADK
EDN1	CIR1
EDN1	AHI1
EDN1	GRB2
EDN1	TBC1D22B
EDN1	PRDX5
EDN1	DGAT2
EDN1	PFKFB3
EDN1	SP140L
EDN1	STRN4
EDN1	CDK5RAP2
EDN1	PRPF6
EDN1	YIPF5
EDN1	SGMS1
EDN1	STAG3
EDN1	CCDC50
EDN1	CANT1
EDN1	ZSCAN5A
EDN1	AVIL
EDN1	ISY1
EDN1	CAPNS2
EDN1	TBK1
EDN1	ILDR1
EDN1	RHOT2
EDN1	TMED7
EDN1	NEDD1
EDN1	HIST1H2BK
EDN1	SLC8A1
EDN1	RBM18
EDN1	TBPL1
EDN1	CBWD1
EDN1	ZNF432
EDN1	SLC9A8
EDN1	PNRC2
FCER1A	GATM
FCER1A	CCL23
FCER1A	CCL18
FCER1A	GFRA2
FCER1A	QPRT
FCER1A	CHST13
FCER1A	ABCA6
FCER1A	CHN2
FCER1A	CMTM8
FCER1A	ABCC4
FCER1A	CARD9
FCER1A	RAB33A
FCER1A	CTSC
FCER1A	FABP4
FCER1A	METTL7A
FCER1A	GLS
FCER1A	GSTP1
FCER1A	SPINT2
FCER1A	ARL4C
FCER1A	KAT2A
FCER1A	ARHGEF6
FCER1A	NAAA
FCER1A	PTGS1
FCER1A	AP1B1
FCER1A	PGA5
FCER1A	SERPINF1
FCER1A	GOLPH3L
FCER1A	FES
FCER1A	KIAA0391
FCER1A	GRHPR
FCER1A	LRMP
FCER1A	REEP5
FCER1A	MXD4
FCER1A	HMOX1
FCER1A	TRIM32
FCER1A	TDRKH
FCER1A	TRIM28
FCER1A	AHCY
FCER1A	DOCK2
FCER1A	C16orf93
FCER1A	SCN9A
FCER1A	EPB41L2
FCER1A	MCCC1
FCER1A	TPRG1L
FCER1A	ERCC2
FCER1A	PUS7L
FCER1A	NPEPPS
FCER1A	KLHDC3
FCER1A	ZFYVE21
FCER1A	NCKAP1L
FCER1A	HCN3
FCER1A	BLVRA
FCER1A	YPEL1
FCER1A	MMACHC
FCER1A	RAB35
FCER1A	PPFIBP1
FCER1A	MAN1C1
FCER1A	PXN
FCER1A	WDR6
FCER1A	AP2M1
FCER1A	UBL3
FCER1A	PDCD6IP
FCER1A	P2RY14
FCER1A	TNK2
FCER1A	AHCYL2
FCER1A	SLC25A42
FCER1A	RBM15B
FCER1A	MTA2
FCER1A	BCL9
FCER1A	LSM7
FCER1A	TTC7A
FCER1A	CDK10
FCER1A	RNF125
FCER1A	MPHOSPH9
FCER1A	ZSCAN18
